label_quantile,target_high_rate,model,params,mean_threshold,mean_validation_macro_f1,mean_test_accuracy,std_test_accuracy,mean_test_macro_f1,std_test_macro_f1,mean_test_f1_high,mean_test_f1_low,mean_test_precision_macro,mean_test_recall_macro,mean_test_auc_roc,mean_test_mcc,folds
0.67,0.24944844830122076,LogisticRegression,"{""C"": 1.0, ""class_weight"": ""balanced""}",0.5305555555555556,0.6596578579867538,0.7525462962962963,0.05505087609051589,0.6609771250635347,0.053586808331562444,0.4994503283981238,0.8225039217289454,0.6857396557394988,0.661655430523038,0.745948725739173,0.34077348230060217,9
0.67,0.24944844830122076,XGBoost,"{""colsample_bytree"": 0.7, ""gamma"": 1, ""learning_rate"": 0.02, ""max_depth"": 3, ""min_child_weight"": 10, ""n_estimators"": 500, ""reg_alpha"": 0.1, ""reg_lambda"": 1.0, ""subsample"": 0.8}",0.3416666666666666,0.659247246255725,0.7666666666666667,0.048984183482849615,0.6513798172052037,0.06932475339439814,0.4674240948995819,0.8353355395108254,0.6921359309902215,0.6498872885743009,0.7549338087744235,0.33146877260128904,9
0.67,0.24944844830122076,XGBoost,"{""colsample_bytree"": 0.7, ""gamma"": 1, ""learning_rate"": 0.02, ""max_depth"": 4, ""min_child_weight"": 30, ""n_estimators"": 500, ""reg_alpha"": 0.1, ""reg_lambda"": 1.0, ""subsample"": 0.8}",0.3416666666666667,0.6591160427208665,0.7694444444444444,0.054642011504851255,0.6511919788186691,0.06226528381396731,0.4638569419720404,0.8385270156652979,0.70015032697746,0.645335433361648,0.7512819670921348,0.33340099571659765,9
0.5,0.40614796293572586,RandomForest,"{""class_weight"": ""balanced"", ""max_depth"": 8, ""max_features"": ""sqrt"", ""min_samples_leaf"": 40, ""n_estimators"": 400}",0.4972222222222222,0.6583241457728712,0.682716049382716,0.046371322309702846,0.6451943539168528,0.06872308846476896,0.5822573655843266,0.7081313422493791,0.6836276393092429,0.6561906637643934,0.7411483393146044,0.3342131874199717,9
0.5,0.40614796293572586,RandomForest,"{""class_weight"": ""balanced"", ""max_depth"": 8, ""max_features"": ""sqrt"", ""min_samples_leaf"": 20, ""n_estimators"": 400}",0.49444444444444446,0.6581731356483593,0.6785493827160494,0.05079713301521216,0.636756924305228,0.07875106008917376,0.5684308805885244,0.7050829680219315,0.6782821614315755,0.6487798147860153,0.7399613714967421,0.31995537337735896,9
0.5,0.40614796293572586,XGBoost,"{""colsample_bytree"": 0.7, ""gamma"": 1, ""learning_rate"": 0.02, ""max_depth"": 4, ""min_child_weight"": 10, ""n_estimators"": 500, ""reg_alpha"": 0.1, ""reg_lambda"": 1.0, ""subsample"": 0.8}",0.4444444444444444,0.6581236633691634,0.6657407407407407,0.07512367631996691,0.6241303227590527,0.0920678930843091,0.5591323293923929,0.6891283161257126,0.6610262439036708,0.637869157271131,0.7361742902236803,0.29560848110219906,9
0.67,0.24944844830122076,XGBoost,"{""colsample_bytree"": 0.7, ""gamma"": 1, ""learning_rate"": 0.01, ""max_depth"": 3, ""min_child_weight"": 10, ""n_estimators"": 500, ""reg_alpha"": 0.1, ""reg_lambda"": 1.0, ""subsample"": 0.8}",0.3222222222222222,0.6575978040289118,0.7748456790123457,0.03686737761539242,0.66901802114505,0.0646785670555284,0.49627012486190075,0.8417659174281992,0.694776945615706,0.6669624851161224,0.7642915866763116,0.3559150206036751,9
0.5,0.40614796293572586,SVM,"{""C"": 1.0, ""class_weight"": ""balanced"", ""gamma"": ""scale"", ""kernel"": ""rbf""}",0.5055555555555555,0.6575273656784456,0.6978395061728395,0.05350427931169543,0.6667827895650155,0.05662729264999954,0.6079610204811782,0.7256045586488528,0.687979727488139,0.6675448344241388,0.7386012698647602,0.35351466666791587,9
0.5,0.40614796293572586,XGBoost,"{""colsample_bytree"": 0.7, ""gamma"": 1, ""learning_rate"": 0.02, ""max_depth"": 4, ""min_child_weight"": 30, ""n_estimators"": 500, ""reg_alpha"": 0.1, ""reg_lambda"": 1.0, ""subsample"": 0.8}",0.4083333333333333,0.657120322004872,0.6749228395061728,0.0667348505167359,0.6425103776583954,0.081432791343048,0.598092898967403,0.6869278563493878,0.6682048602899747,0.6530045309542577,0.742356061283465,0.3185097077367063,9
0.5,0.40614796293572586,RandomForest,"{""class_weight"": ""balanced"", ""max_depth"": 8, ""max_features"": ""sqrt"", ""min_samples_leaf"": 10, ""n_estimators"": 400}",0.48888888888888893,0.6567090395259345,0.6820216049382716,0.05556797218497669,0.6378744224806305,0.08045642786955634,0.5690581549468455,0.7066906900144155,0.6814982212765351,0.6486489899558789,0.7419091356189216,0.32322398699666127,9
