params,folds,mean_coverage,mean_validation_macro_f1,mean_test_accuracy,std_test_accuracy,mean_test_macro_f1,std_test_macro_f1,mean_test_precision_macro,mean_test_recall_macro,mean_test_f1_bull,mean_test_f1_bear,mean_test_precision_bull,mean_test_recall_bull,mean_test_bull_prediction_rate
"{""colsample_bytree"": 0.7, ""gamma"": 1, ""learning_rate"": 0.01, ""max_depth"": 3, ""min_child_weight"": 30, ""n_estimators"": 300, ""reg_alpha"": 0, ""reg_lambda"": 3.0, ""subsample"": 0.8}",8,0.21624045678017742,0.6020927609578347,0.6115964829048967,0.12445337546024281,0.5487486169705595,0.15371540631316072,0.5486488934410095,0.574172421324721,0.5807462929561438,0.5167509409849753,0.5400663445874597,0.6398081713888348,0.5882339720097239
"{""colsample_bytree"": 0.85, ""gamma"": 1, ""learning_rate"": 0.02, ""max_depth"": 3, ""min_child_weight"": 15, ""n_estimators"": 500, ""reg_alpha"": 0.1, ""reg_lambda"": 1.0, ""subsample"": 0.8}",8,0.21624045678017742,0.6018932504649858,0.6083021122125862,0.1435800609035355,0.5653936040283646,0.14486039399752687,0.5934051363901174,0.5794832773076936,0.6303407178300736,0.5004464902266557,0.6065909233560024,0.686405861193768,0.618359270944863
"{""colsample_bytree"": 0.7, ""gamma"": 1, ""learning_rate"": 0.01, ""max_depth"": 3, ""min_child_weight"": 15, ""n_estimators"": 500, ""reg_alpha"": 0.1, ""reg_lambda"": 3.0, ""subsample"": 0.8}",8,0.21624045678017742,0.6016704784689121,0.6014538406814115,0.14051533236751446,0.5510251498282817,0.14730207233437426,0.5741973654394636,0.568394871386399,0.5853709984167812,0.516679301239782,0.5923279773192516,0.6245270658736601,0.5742300392174181
"{""colsample_bytree"": 0.85, ""gamma"": 1, ""learning_rate"": 0.02, ""max_depth"": 3, ""min_child_weight"": 15, ""n_estimators"": 300, ""reg_alpha"": 0, ""reg_lambda"": 1.0, ""subsample"": 0.8}",8,0.21624045678017742,0.6011675778742135,0.6026400374293496,0.12085259900872194,0.5488011004189695,0.13571846118513994,0.5577572281420825,0.5700286961150162,0.6088279660830094,0.4887742347549294,0.586441430567767,0.6648915249002758,0.610430924753405
"{""colsample_bytree"": 0.7, ""gamma"": 1, ""learning_rate"": 0.02, ""max_depth"": 2, ""min_child_weight"": 30, ""n_estimators"": 300, ""reg_alpha"": 0, ""reg_lambda"": 3.0, ""subsample"": 0.8}",8,0.21624045678017742,0.5998693349982683,0.5892568665347087,0.12696248625101852,0.5129192264521519,0.14867015162399444,0.5153071861478181,0.5459222361040271,0.5632308648475276,0.46260758805677626,0.5191802785145048,0.6338761753424351,0.6065827162514341
"{""colsample_bytree"": 0.7, ""gamma"": 1, ""learning_rate"": 0.01, ""max_depth"": 3, ""min_child_weight"": 15, ""n_estimators"": 500, ""reg_alpha"": 0, ""reg_lambda"": 3.0, ""subsample"": 0.8}",8,0.21624045678017742,0.5997743332446351,0.5936760357914126,0.12482639815070748,0.5410385279020311,0.13839960067970264,0.5521252011174216,0.5624077934115439,0.5673626594575237,0.5147143963465385,0.5633425049769722,0.6021418586750479,0.5585499243249665
"{""colsample_bytree"": 0.7, ""gamma"": 1, ""learning_rate"": 0.02, ""max_depth"": 3, ""min_child_weight"": 15, ""n_estimators"": 300, ""reg_alpha"": 0, ""reg_lambda"": 3.0, ""subsample"": 0.8}",8,0.21624045678017742,0.5996018357704944,0.6049625787560546,0.1397526333534595,0.5549331384916614,0.14284774070649994,0.5876354383755066,0.5720878178858373,0.5993612556693815,0.5105050213139412,0.6045317594762529,0.6463644096635578,0.5891432043380499
"{""colsample_bytree"": 0.85, ""gamma"": 1, ""learning_rate"": 0.02, ""max_depth"": 3, ""min_child_weight"": 15, ""n_estimators"": 300, ""reg_alpha"": 0, ""reg_lambda"": 3.0, ""subsample"": 0.8}",8,0.21624045678017742,0.599288340628739,0.5958591026109721,0.13510622802250347,0.5432038431338166,0.14198830511843813,0.5674539304163483,0.5673555430349582,0.5854696699962052,0.5009380162714282,0.5967901040959405,0.6241829926110973,0.5702610945386839
"{""colsample_bytree"": 0.7, ""gamma"": 1, ""learning_rate"": 0.01, ""max_depth"": 3, ""min_child_weight"": 30, ""n_estimators"": 300, ""reg_alpha"": 0.1, ""reg_lambda"": 3.0, ""subsample"": 0.8}",8,0.21624045678017742,0.5991744802617974,0.6096714154444497,0.1260367695168393,0.5475162653629894,0.15345210538028278,0.5494819102697068,0.5726255767863747,0.5774451379609375,0.5175873927650412,0.5396220993338569,0.6334220801907557,0.5831604935715208
"{""colsample_bytree"": 0.7, ""gamma"": 1, ""learning_rate"": 0.01, ""max_depth"": 3, ""min_child_weight"": 15, ""n_estimators"": 500, ""reg_alpha"": 0.1, ""reg_lambda"": 1.0, ""subsample"": 0.8}",8,0.21624045678017742,0.5990369050025072,0.6031982903573717,0.1268616473099247,0.5451626158029651,0.14213055045725453,0.566811202931538,0.5692847656808362,0.5899611246786772,0.5003641069272529,0.575129555456269,0.6504686115452876,0.6001013376745991
"{""colsample_bytree"": 0.85, ""gamma"": 1, ""learning_rate"": 0.02, ""max_depth"": 3, ""min_child_weight"": 15, ""n_estimators"": 300, ""reg_alpha"": 0.1, ""reg_lambda"": 1.0, ""subsample"": 0.8}",8,0.21624045678017742,0.5988708807278906,0.6021000996737629,0.13456934992516267,0.552859626301534,0.14196452952304442,0.5773233047482736,0.5723923664130198,0.6244739779368013,0.4812452746662667,0.5968284853989684,0.6895364460290799,0.6304309466142582
"{""colsample_bytree"": 0.7, ""gamma"": 1, ""learning_rate"": 0.01, ""max_depth"": 3, ""min_child_weight"": 15, ""n_estimators"": 300, ""reg_alpha"": 0, ""reg_lambda"": 3.0, ""subsample"": 0.8}",8,0.21624045678017742,0.5988281842055839,0.5851683629227231,0.11589934158228393,0.5277287505737717,0.1408956725721014,0.5222226197683085,0.5610111214810325,0.540195096281228,0.5152624048663155,0.5373443029444837,0.5622608119822343,0.523232115284068
"{""colsample_bytree"": 0.85, ""gamma"": 1, ""learning_rate"": 0.01, ""max_depth"": 3, ""min_child_weight"": 15, ""n_estimators"": 500, ""reg_alpha"": 0.1, ""reg_lambda"": 3.0, ""subsample"": 0.8}",8,0.21624045678017742,0.598767234568131,0.6072587891332404,0.13429703454028055,0.5661272664569645,0.139243675713824,0.5802600511424831,0.5818189023855654,0.612919103565943,0.519335429347986,0.6157335680545888,0.6393769725577187,0.5711150398781394
"{""colsample_bytree"": 0.7, ""gamma"": 1, ""learning_rate"": 0.02, ""max_depth"": 2, ""min_child_weight"": 15, ""n_estimators"": 500, ""reg_alpha"": 0.1, ""reg_lambda"": 1.0, ""subsample"": 0.8}",8,0.21624045678017742,0.5987340895648262,0.5917775134427224,0.144103340777696,0.5342874949955586,0.1509980802164899,0.5593509275653078,0.5592111152647254,0.6070346603460551,0.46154032964506214,0.5865300209871835,0.6767478543507932,0.6324099584798132
